Symbol,Name,Sector,Market Cap
MTX.DE,Stock DAX 40 (Top),Unknown,500000000
MUV2.DE,Stock DAX 40 (Top),Unknown,500000000
PAH3.DE,Stock DAX 40 (Top),Unknown,500000000
QIA.DE,Stock DAX 40 (Top),Unknown,500000000
RHM.DE,Stock DAX 40 (Top),Unknown,500000000
RWE.DE,Stock DAX 40 (Top),Unknown,500000000
SAP.DE,Stock DAX 40 (Top),Unknown,500000000
G24.DE,Stock DAX 40 (Top),Unknown,500000000
SIE.DE,Stock DAX 40 (Top),Unknown,500000000
ENR.DE,Stock DAX 40 (Top),Unknown,500000000
SHL.DE,Stock DAX 40 (Top),Unknown,500000000
SY1.DE,Stock DAX 40 (Top),Unknown,500000000
VOW3.DE,Stock DAX 40 (Top),Unknown,500000000
VNA.DE,Stock DAX 40 (Top),Unknown,500000000
ZAL.DE,Stock DAX 40 (Top),Unknown,500000000
AIXA.DE,Stock MDAX (Mid),Unknown,500000000
AT1.DE,Stock MDAX (Mid),Unknown,500000000
NDA.DE,Stock MDAX (Mid),Unknown,500000000
BC8.DE,Stock MDAX (Mid),Unknown,500000000
BFSA.DE,Stock MDAX (Mid),Unknown,500000000
GBF.DE,Stock MDAX (Mid),Unknown,500000000
AFX.DE,Stock MDAX (Mid),Unknown,500000000
EVD.DE,Stock MDAX (Mid),Unknown,500000000
DHER.DE,Stock MDAX (Mid),Unknown,500000000
LHA.DE,Stock MDAX (Mid),Unknown,500000000
ECV.DE,Stock MDAX (Mid),Unknown,500000000
EVK.DE,Stock MDAX (Mid),Unknown,500000000
EVT.DE,Stock MDAX (Mid),Unknown,500000000
FRA.DE,Stock MDAX (Mid),Unknown,500000000
FNTN.DE,Stock MDAX (Mid),Unknown,500000000
FPE3.DE,Stock MDAX (Mid),Unknown,500000000
GXI.DE,Stock MDAX (Mid),Unknown,500000000
HLE.DE,Stock MDAX (Mid),Unknown,500000000
HFG.DE,Stock MDAX (Mid),Unknown,500000000
HAG.DE,Stock MDAX (Mid),Unknown,500000000
HOT.DE,Stock MDAX (Mid),Unknown,500000000
BOSS.DE,Stock MDAX (Mid),Unknown,500000000
JEN.DE,Stock MDAX (Mid),Unknown,500000000
JUN3.DE,Stock MDAX (Mid),Unknown,500000000
SDF.DE,Stock MDAX (Mid),Unknown,500000000
KGX.DE,Stock MDAX (Mid),Unknown,500000000
KBX.DE,Stock MDAX (Mid),Unknown,500000000
